threshold,entropy_values,mean_entropy,median_entropy,q25_entropy,simulation_time
55,"[np.float64(9.364648481745125), np.float64(9.569050754852233), np.float64(9.279113961764619), np.float64(0.0), np.float64(9.23628919719865), np.float64(9.08629410593776), np.float64(8.939305798096864), np.float64(9.179894885094505), np.float64(9.169112814626672), np.float64(9.329246922216205), np.float64(8.993404411752424)]",8.37694193938955,9.179894885094505,9.039849258845091,2.2275118827819824
60,"[np.float64(9.238910426786278), np.float64(9.39381167805055), np.float64(9.426011286781504), np.float64(9.575937837420629), np.float64(9.433784805450607), np.float64(9.423579458734764), np.float64(9.317606793705059), np.float64(9.052357947049476), np.float64(9.247036108773607), np.float64(9.218032701907045), np.float64(8.998060630575898)]",9.302284515930493,9.317606793705059,9.228471564346663,2.1043171882629395
65,"[np.float64(9.797911452896006), np.float64(9.529270391270297), np.float64(0.0), np.float64(9.069031384861471), np.float64(9.601163857031693), np.float64(9.165358474928446), np.float64(9.250025223752523), np.float64(9.266855108368363), np.float64(9.412758018624947), np.float64(9.220392115611785), np.float64(8.790512621564968)]",8.463934422628228,9.250025223752523,9.117194929894959,2.163644790649414
70,"[np.float64(9.571932536311426), np.float64(9.741455505817031), np.float64(9.658985140499444), np.float64(9.37069122751478), np.float64(9.79385380898083), np.float64(9.447599018949557), np.float64(9.332339339690764), np.float64(9.491181842950683), np.float64(9.080867437195582), np.float64(9.286828783125957), np.float64(9.041458775893192)]",9.437926674266295,9.447599018949557,9.30958406140836,2.172572135925293
75,"[np.float64(9.840061183414734), np.float64(9.41738621945049), np.float64(9.61076679530338), np.float64(9.890269085482153), np.float64(9.326902950515903), np.float64(9.393848683817676), np.float64(9.39888529168967), np.float64(0.0), np.float64(9.16108506664052), np.float64(9.050425433076802), np.float64(8.866998952625597)]",8.541511787456084,9.393848683817676,9.10575524985866,2.211106061935425
80,"[np.float64(9.675930536027195), np.float64(9.770571844988348), np.float64(9.725758868411294), np.float64(9.511861548785626), np.float64(9.443155399316662), np.float64(9.685628287841476), np.float64(9.380765812840936), np.float64(9.248446550895624), np.float64(9.235651795009302), np.float64(9.459202673866523), np.float64(8.703408212388041)]",9.440034684579187,9.459202673866523,9.31460618186828,2.0252878665924072
85,"[np.float64(9.810122516791663), np.float64(9.814571055257943), np.float64(9.689933526118933), np.float64(9.678844287410628), np.float64(0.0), np.float64(9.567737736691901), np.float64(0.0), np.float64(9.187893583868012), np.float64(8.970649646644796), np.float64(8.747682175646418), np.float64(8.813614893980873)]",7.661913583855561,9.187893583868012,8.780648534813645,2.1247730255126953
90,"[np.float64(9.96681001422732), np.float64(9.858110747513768), np.float64(9.4488655514063), np.float64(9.885107729375907), np.float64(9.434240750720072), np.float64(0.0), np.float64(8.80083522286588), np.float64(8.324352685662003), np.float64(9.154383252416444), np.float64(9.327662193161895), np.float64(8.62136882325948)]",8.438339724600825,9.327662193161895,8.71110202306268,2.022017002105713
95,"[np.float64(9.807693231095625), np.float64(9.74678512873958), np.float64(9.651085771900885), np.float64(9.507279050137388), np.float64(9.515850493882796), np.float64(9.612107309715167), np.float64(8.960476283624994), np.float64(8.952454160542697), np.float64(8.931607594657864), np.float64(9.044418745516435), np.float64(8.921858041002242)]",9.331965073710517,9.507279050137388,8.956465222083846,2.1986911296844482
100,"[np.float64(9.928162549362437), np.float64(9.863570478297728), np.float64(9.499333299964738), np.float64(9.596383560588817), np.float64(9.237036367484176), np.float64(9.058942722220248), np.float64(8.915648829494936), np.float64(8.98153456480791), np.float64(9.194779531009319), np.float64(7.7731824954377755), np.float64(8.239266363298297)]",9.117076432906035,9.194779531009319,8.948591697151423,2.1018991470336914
