n_hops,threshold,mean_entropy,median_entropy,q25_entropy,simulation_time,std_mean,std_median,std_q25
5,70,10.637407283734621,10.775541234691918,10.59923413370188,20.992130982875825,0.4075696384558466,0.08165769568159291,0.14285637605431709
5,75,10.572019774614903,10.826885719761215,10.618100721327867,24.627451372146606,0.5457015080057874,0.10115493662893223,0.13681049342214574
5,80,10.727610640765013,10.804272376665141,10.58483833353608,20.75182577371597,0.23677116809677934,0.09864703897562771,0.10404469184427625
5,85,10.49125741736587,10.771750164608246,10.468797669545925,21.011359488964082,0.5232440596756741,0.09790937829158446,0.1022080037997594
5,90,10.646238448749134,10.76432527875636,10.4413572076542,23.977261233329774,0.18624347516100737,0.12495625830357271,0.15368566767125375
5,95,10.25635712741795,10.66255105658949,10.252558686882388,20.763528406620026,0.6880064832118448,0.15673059162720024,0.2103687441457665
5,100,10.486698038825708,10.558402958537119,10.18301915239567,20.552306914329527,0.10099097276473416,0.09812812761485275,0.2165527988663385
6,5,0.0,0.0,0.0,19.61259708404541,0.0,0.0,0.0
6,10,8.54945510084773,8.758057583395988,8.419470528418724,26.652644538879393,0.36504460719510273,0.19347154611905987,0.22583326474478976
6,15,9.119301318551306,9.331829247363643,9.032016895303254,26.78142011165619,0.31969874420285554,0.19065319154684238,0.20615047673379247
6,20,9.54152640162502,9.617988518715395,9.395443612518946,29.388088154792786,0.2853296116271245,0.16459134956458724,0.11991762748060868
6,25,9.864685349512456,9.947015884268637,9.737662182025009,25.239729809761048,0.2920426963441201,0.11668125831708434,0.10846293675946801
6,30,9.794913520154777,10.15074463235292,9.934358244992403,24.380108070373534,0.6351252749541194,0.13320305072827668,0.10901477322977061
6,35,10.384961897147086,10.38064501617584,10.19031100819953,28.182056069374084,0.07652778247844322,0.09778087037640669,0.11166600857046156
6,40,10.468546413211142,10.551771573672484,10.385816597521998,23.481053638458253,0.3241101378266467,0.11466394763285193,0.12158825378970713
6,45,10.594222165624826,10.694714379426422,10.535311217547244,23.758090913295746,0.33365286649964626,0.11100233551223002,0.11087824353562048
6,50,10.697466885547293,10.834607466456072,10.691471786008007,26.720987260341644,0.3414477912595974,0.1077633156870078,0.12260851986228544
6,55,10.859572195455687,10.959921380286023,10.804243287436167,22.55154197216034,0.4693855404419784,0.11117899955892671,0.09639592048878863
6,60,10.843515331402763,11.031941027096437,10.861191714472811,22.5967515707016,0.4511534592729923,0.10036179780993591,0.11497951215145871
6,65,11.057626741695804,11.047084626120174,10.867078569237695,22.743332624435425,0.07874602009125664,0.09678420508375024,0.08964037461008505
6,70,11.042463465774203,11.12822316570943,10.965378301308844,27.222348427772523,0.4856780975481807,0.10289635810727837,0.11399207568232682
6,75,11.094489256222218,11.112543421760948,10.888752931741266,22.536623811721803,0.07302001650848923,0.0985836993418545,0.08262417180449581
6,80,10.996568105667851,11.10013076819126,10.895910800755777,22.543300127983095,0.3031843695962731,0.10794337952229445,0.07310038575455417
6,85,10.938678812789082,11.082557387444046,10.763306297547327,22.269826650619507,0.31503075777765543,0.15029489606585147,0.16371056468732118
6,90,10.836376441305458,11.051659513485525,10.713878793262872,27.021315336227417,0.35813221150230135,0.14191043536025724,0.16032681226436715
6,95,10.869434298219092,10.975695591014091,10.608038302297375,21.952569365501404,0.2607576472344846,0.15518441668708516,0.1795008239816357
6,100,10.791903102600468,10.863127514929714,10.422831064896707,21.431015729904175,0.1028254419562195,0.18646691174260735,0.15085744840126292
